ADC_BIN,COUNT,SMOOTH
456,7,"385,789473684211"
457,6,"383,842105263158"
458,10,"378,578947368421"
459,1,"376,105263157895"
460,8,"371,894736842105"
461,3,"368,736842105263"
462,9,365
463,6,"360,157894736842"
464,13,"355,526315789474"
465,10,"352,578947368421"
466,7,"351,315789473684"
467,4,348
468,10,"345,105263157895"
469,3,"341,368421052632"
470,5,"337,21052631579"
471,9,"330,157894736842"
472,12,"324,21052631579"
473,6,"318,947368421053"
474,9,"315,105263157895"
475,7,"310,421052631579"
476,8,"304,842105263158"
477,4,"300,842105263158"
478,5,"296,368421052632"
479,3,"292,684210526316"
480,2,"286,263157894737"
481,6,"283,842105263158"
482,7,"280,578947368421"
483,6,279
484,4,"274,578947368421"
485,7,270
486,4,"266,526315789474"
487,9,"261,842105263158"
488,5,256
489,9,"252,105263157895"
490,4,"252,210526315789"
491,5,"250,157894736842"
492,2,"246,684210526316"
493,9,"243,736842105263"
494,2,"240,736842105263"
495,7,"236,473684210526"
496,3,"232,105263157895"
497,6,"227,473684210526"
498,3,"223,315789473684"
499,7,"222,947368421053"
500,1,220
501,7,"215,684210526316"
502,2,"211,631578947368"
503,4,"207,526315789474"
504,6,"205,789473684211"
505,2,"203,263157894737"
506,4,"200,842105263158"
507,1,"197,526315789474"
508,7,"194,789473684211"
509,1,"190,473684210526"
510,3,"188,526315789474"
511,1,"185,210526315789"
512,2,"180,578947368421"
513,2,"176,421052631579"
514,7,"175,842105263158"
515,2,"174,684210526316"
516,5,"172,368421052632"
517,3,"171,842105263158"
518,5,"169,526315789474"
519,1,"166,684210526316"
520,5,"165,263157894737"
521,2,"162,526315789474"
522,5,"162,052631578947"
523,3,"159,421052631579"
524,3,"157,315789473684"
525,2,"156,736842105263"
526,2,"155,736842105263"
527,6,"153,947368421053"
528,2,"153,105263157895"
529,1,"150,315789473684"
530,4,"149,210526315789"
531,1,"149,631578947368"
532,2,"148,473684210526"
533,3,147
534,5,145
535,4,"144,315789473684"
536,2,"143,736842105263"
537,5,"141,842105263158"
538,5,143
539,4,"142,368421052632"
540,1,"142,473684210526"
541,7,"141,421052631579"
542,2,"140,894736842105"
543,3,"140,263157894737"
544,2,"137,736842105263"
545,3,"136,263157894737"
546,7,"135,842105263158"
547,3,"134,526315789474"
548,4,"134,526315789474"
549,2,"133,947368421053"
550,3,"133,315789473684"
551,4,"132,947368421053"
552,1,"131,736842105263"
